"N","P","C",
"G","o","a","l",
"P","l","a","n",
"P","l","a","n","_","w","e","i","g","h","t",
"Ailis","money","9","craft","9",
"Ailis","money","9","friends","7",
"Ailis","money","9","family","7",
"Ailis","money","9","study","8",
"Ailis","love","6","craft","9",
"Ailis","love","6","friends","7",
"Ailis","love","6","family","7",
"Ailis","love","6","study","8",
"Ailis","fun","7","craft","9",
"Ailis","fun","7","friends","7",
"Ailis","fun","7","family","7",
"Ailis","fun","7","study","8",
"Ailis","learn","7","craft","9",
"Ailis","learn","7","friends","7",
"Ailis","learn","7","family","7",
"Ailis","learn","7","study","8",
"Adonai","money","8","work","8",
"Adonai","money","8","friends","8",
"Adonai","money","8","pub","9",
"Adonai","money","8","study","3",
"Adonai","love","6","work","8",
"Adonai","love","6","friends","8",
"Adonai","love","6","pub","9",
"Adonai","love","6","study","3",
"Adonai","fun","10","work","8",
"Adonai","fun","10","friends","8",
"Adonai","fun","10","pub","9",
"Adonai","fun","10","study","3",
"Adonai","learn","3","work","8",
"Adonai","learn","3","friends","8",
"Adonai","learn","3","pub","9",
"Adonai","learn","3","study","3",
"Del","money","1","forage","8",
"Del","money","1","charity","10",
"Del","money","1","games","4",
"Del","money","1","craft","5",
"Del","love","10","forage","8",
"Del","love","10","charity","10",
"Del","love","10","games","4",
"Del","love","10","craft","5",
"Del","fun","9","forage","8",
"Del","fun","9","charity","10",
"Del","fun","9","games","4",
"Del","fun","9","craft","5",
"Del","learn","8","forage","8",
"Del","learn","8","charity","10",
"Del","learn","8","games","4",
"Del","learn","8","craft","5",
"Jensen","money","1","craft","6",
"Jensen","money","1","friends","2",
"Jensen","money","1","family","8",
"Jensen","money","1","craft","1",
"Jensen","love","7","craft","6",
"Jensen","love","7","friends","2",
"Jensen","love","7","family","8",
"Jensen","love","7","craft","1",
"Jensen","fun","3","craft","6",
"Jensen","fun","3","friends","2",
"Jensen","fun","3","family","8",
"Jensen","fun","3","craft","1",
"Jensen","learn","1","craft","6",
"Jensen","learn","1","friends","2",
"Jensen","learn","1","family","8",
"Jensen","learn","1","craft","1",
"Moon-Unit","money","10","craft","8",
"Moon-Unit","money","10","family","6",
"Moon-Unit","money","10","games","8",
"Moon-Unit","money","10","train","4",
"Moon-Unit","love","2","craft","8",
"Moon-Unit","love","2","family","6",
"Moon-Unit","love","2","games","8",
"Moon-Unit","love","2","train","4",
"Moon-Unit","fun","1","craft","8",
"Moon-Unit","fun","1","family","6",
"Moon-Unit","fun","1","games","8",
"Moon-Unit","fun","1","train","4",
"Moon-Unit","learn","9","craft","8",
"Moon-Unit","learn","9","family","6",
"Moon-Unit","learn","9","games","8",
"Moon-Unit","learn","9","train","4",
"Tacy","money","1","craft","7",
"Tacy","money","1","friends","4",
"Tacy","money","1","fish","2",
"Tacy","money","1","craft","1",
"Tacy","love","7","craft","7",
"Tacy","love","7","friends","4",
"Tacy","love","7","fish","2",
"Tacy","love","7","craft","1",
"Tacy","fun","2","craft","7",
"Tacy","fun","2","friends","4",
"Tacy","fun","2","fish","2",
"Tacy","fun","2","craft","1",
"Tacy","learn","8","craft","7",
"Tacy","learn","8","friends","4",
"Tacy","learn","8","fish","2",
"Tacy","learn","8","craft","1",
"Jerrell","money","2","craft","8",
"Jerrell","money","2","family","2",
"Jerrell","money","2","family","7",
"Jerrell","money","2","work","4",
"Jerrell","love","6","craft","8",
"Jerrell","love","6","family","2",
"Jerrell","love","6","family","7",
"Jerrell","love","6","work","4",
"Jerrell","fun","9","craft","8",
"Jerrell","fun","9","family","2",
"Jerrell","fun","9","family","7",
"Jerrell","fun","9","work","4",
"Jerrell","learn","8","craft","8",
"Jerrell","learn","8","family","2",
"Jerrell","learn","8","family","7",
"Jerrell","learn","8","work","4",
"Mili","money","1","forage","7",
"Mili","money","1","friends","8",
"Mili","money","1","pub","1",
"Mili","money","1","craft","7",
"Mili","love","4","forage","7",
"Mili","love","4","friends","8",
"Mili","love","4","pub","1",
"Mili","love","4","craft","7",
"Mili","fun","9","forage","7",
"Mili","fun","9","friends","8",
"Mili","fun","9","pub","1",
"Mili","fun","9","craft","7",
"Mili","learn","6","forage","7",
"Mili","learn","6","friends","8",
"Mili","learn","6","pub","1",
"Mili","learn","6","craft","7",
"Nenet","money","3","craft","5",
"Nenet","money","3","charity","6",
"Nenet","money","3","family","4",
"Nenet","money","3","study","2",
"Nenet","love","10","craft","5",
"Nenet","love","10","charity","6",
"Nenet","love","10","family","4",
"Nenet","love","10","study","2",
"Nenet","fun","9","craft","5",
"Nenet","fun","9","charity","6",
"Nenet","fun","9","family","4",
"Nenet","fun","9","study","2",
"Nenet","learn","7","craft","5",
"Nenet","learn","7","charity","6",
"Nenet","learn","7","family","4",
"Nenet","learn","7","study","2",
