---,stat_id,player_name,total
NewRow,"pickup_ore_basic","[placeholder]","0"
NewRow_0,"pickup_herb_basic","[placeholder]","0"
NewRow_1,"pickup_apple_basic","[placeholder]","0"
NewRow_2,"pickup_mushroom_basic","[placeholder]","0"
NewRow_3,"pickup_gem_orange","[placeholder]","0"
NewRow_4,"pickup_gem_red","[placeholder]","0"
NewRow_5,"pickup_gem_white","[placeholder]","0"
NewRow_6,"fish_caught","[placeholder]","0"
NewRow_7,"total_gems_found","[placeholder]","0"
NewRow_8,"total_items_gathered","[placeholder]","0"
NewRow_9,"total_recipes_learned","[placeholder]","0"
NewRow_10,"total_items_crafted","[placeholder]","0"
