---,ID,Name,Description,Quality,Icon,ItemType,Amount,IsStackable,MaxStackSize,IsDroppable,WorldMesh,Health,Duration,WeaponActorClass,EquipmentMesh,EquipmentType,EquipmentSlot,Damage,Armor,Strength,Dexterity,Intelligence
plant_tree_fir_1,Tree Fir 1,"(StaticMesh""/Game/_DJM/Environment/trees/SM_Fir_01_Plant.SM_Fir_01_Plan"")
plant_tree_fir_2,Tree Fir 2,"(StaticMesh""/Game/_DJM/Environment/trees/SM_Fir_02_Small.SM_Fir_02_Small"")
plant_tree_fir_3,Tree Fir 3,"(StaticMesh""/Game/_DJM/Environment/trees/SM_Fir_03_Medium.SM_Fir_03_Medium"")
plant_tree_fir_4,Tree Fir 4,"(StaticMesh""/Game/_DJM/Environment/trees/SM_Fir_04_Standalone.SM_Fir_04_Standalon"")
plant_tree_fir_5,Tree Fir 5,"(StaticMesh""/Game/_DJM/Environment/trees/SM_Fir_05_Standalone.SM_Fir_05_Standalon"")
plant_tree_fir_6,Tree Fir 6,"(StaticMesh""/Game/_DJM/Environment/trees/SM_Fir_06_Forest.SM_Fir_06_For"")
plant_tree_fir_7,Tree Fir 7,"(StaticMesh""/Game/_DJM/Environment/trees/SM_Fir_07_Forest.SM_Fir_07_For"")
plant_tree_fir_8,Tree Fir 8,"(StaticMesh""/Game/_DJM/Environment/trees/SM_Fir_08_Dead_Forest.SM_Fir_08_Dead_For"")
plant_tree_poplar_1,Tree Poplar 1,"(StaticMesh""/Game/ext_landscapes/Meadow_Environment_Set/Environment/Foliage/Meshes/SM_Poplar_plant_A_00.SM_Poplar_plant_A_00"")
plant_tree_poplar_2,Tree Poplar 2,"(StaticMesh""/Game/Environment_Set/Environment/Foliage/Models/Poplar_05_Small.Poplar_05_Small"")
plant_tree_poplar_3,Tree Poplar 3,"(StaticMesh""/Game/Environment_Set/Environment/Foliage/Models/Poplar_04_Small.Poplar_04_Small"")
plant_tree_poplar_4,Tree Poplar 4,"(StaticMesh""/Game/Environment_Set/Environment/Foliage/Models/Poplar_03_Medium.Poplar_03_Medium"")
plant_tree_poplar_5,Tree Poplar 5,"(StaticMesh""/Game/Environment_Set/Environment/Foliage/Models/Poplar_01_Standalone.Poplar_01_Standalon"")
plant_tree_poplar_6,Tree Poplar 6,"(StaticMesh""/Game/Environment_Set/Environment/Foliage/Models/Poplar_06_Forest.Poplar_06_For"")
plant_tree_poplar_7,Tree Poplar 7,"(StaticMesh""/Game/_DJM/Environment/trees/SM_Poplar_06_Forest.SM_Poplar_06_For"")
plant_tree_poplar_8,Tree Poplar 8,"(StaticMesh""/Game/Environment_Set/Environment/Foliage/Models/SM_trunk_02.SM_trunk_02"")
plant_tree_pine_1,Tree Pine 1,"(StaticMesh""/Game/STF/Pack03-LandscapePro/Environment/Foliage/Pines/pine-small01/SM_pine-small01.SM_pine-small01"")
plant_tree_pine_2,Tree Pine 2,"(StaticMesh""/Game/STF/Pack03-LandscapePro/Environment/Foliage/Pines/pine-small02/SM_pine-small02.SM_pine-small02"")
plant_tree_pine_3,Tree Pine 3,"(StaticMesh""/Game/STF/Pack03-LandscapePro/Environment/Foliage/Pines/pine-small03/SM_pine-small03.SM_pine-small03"")
plant_tree_pine_4,Tree Pine 4,"(StaticMesh""/Game/STF/Pack03-LandscapePro/Environment/Foliage/Pines/pine01/SM_pine01.SM_pine01"")
plant_tree_pine_5,Tree Pine 5,"(StaticMesh""/Game/STF/Pack03-LandscapePro/Environment/Foliage/Pines/pine02/SM_pine02.SM_pine02"")
plant_tree_pine_6,Tree Pine 6,"(StaticMesh""/Game/STF/Pack03-LandscapePro/Environment/Foliage/Pines/pine03/SM_pine03.SM_pine03"")
plant_tree_pine_7,Tree Pine 7,"(StaticMesh""/Game/STF/Pack03-LandscapePro/Environment/Foliage/Pines/pine04/SM_pine04.SM_pine04"")
plant_tree_pine_8,Tree Pine 8,"(StaticMesh""/Game/STF/Pack03-LandscapePro/Environment/Foliage/Pines/pine05/SM_pine05.SM_pine05"")
plant_tree_cedar_1,Tree Cedar 1,"(StaticMesh""/Game/FoliagePackV1/Meshes/Trees/AlaskaCedar/Meshes/SM_AlaskaCedar_Sapling.SM_AlaskaCedar_Sapling"")
plant_tree_cedar_2,Tree Cedar 2,"(StaticMesh""/Game/FoliagePackV1/Meshes/Trees/AlaskaCedar/Meshes/SM_AlaskaCedar_Young.SM_AlaskaCedar_Young"")
plant_tree_cedar_3,Tree Cedar 3,"(StaticMesh""/Game/FoliagePackV1/Meshes/Trees/AlaskaCedar/Meshes/SM_AlaskaCedar_3.SM_AlaskaCedar_3"")
plant_tree_cedar_4,Tree Cedar 4,"(StaticMesh""/Game/FoliagePackV1/Meshes/Trees/AlaskaCedar/Meshes/SM_AlaskaCedar_4.SM_AlaskaCedar_4"")
plant_tree_cedar_5,Tree Cedar 5,"(StaticMesh""/Game/FoliagePackV1/Meshes/Trees/AlaskaCedar/Meshes/SM_AlaskaCedar_1.SM_AlaskaCedar_1"")
plant_tree_cedar_6,Tree Cedar 6,"(StaticMesh""/Game/FoliagePackV1/Meshes/Trees/AlaskaCedar/Meshes/SM_AlaskaCedar_2.SM_AlaskaCedar_2"")
plant_tree_cherry_1,Tree Cherrytree 1,"(StaticMesh""/Game/_DJM/z_ext_marketplace/Ducks/Demo_Content/Earth/StaticMesh/SM_Cherry_Tree.SM_Cherry_Tr"")
plant_tree_gum_1,Tree Gum 1,"(StaticMesh""/Game/ext_landscapes/RuralAustralia/StaticMeshes/Vegetation/Tree_S_01/SM_Tree_S_01.SM_Tree_S_01"")
plant_tree_gum_2,Tree Gum 2,"(StaticMesh""/Game/ext_landscapes/RuralAustralia/StaticMeshes/Vegetation/Tree_M_04/SM_Tree_M_04.SM_Tree_M_04"")
plant_tree_gum_3,Tree Gum 3,"(StaticMesh""/Game/ext_landscapes/RuralAustralia/StaticMeshes/Vegetation/Tree_M_03/SM_Tree_M_03.SM_Tree_M_03"")
plant_tree_gum_4,Tree Gum 4,"(StaticMesh""/Game/ext_landscapes/RuralAustralia/StaticMeshes/Vegetation/Tree_M_02/SM_Tree_M_02.SM_Tree_M_02"")
plant_tree_gum_5,Tree Gum 5,"(StaticMesh""/Game/ext_landscapes/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01"")
